IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.6,28:25.1,0,22.25971222,183.8708639,3003.394127,0.00034807,0.088478708
192.168.0.5,29:14.3,0,3.286600113,86.09148979,142.5523758,0.000743395,0.003304672
192.168.0.2,30:53.3,0,1.629114151,3.147006035,15.88773727,0.02033679,0.002164297
192.168.0.1,31:42.5,0,1.818180084,6.051621437,95.6466198,0.010575678,0.006358576
192.168.0.2,35:53.0,0,1.403093338,2.333493233,8.110523224,0.027426692,0.000932693
192.168.0.1,36:42.1,0,1.98674202,4.437761307,85.35766602,0.014421686,0.004198866
192.168.0.6,37:33.0,0,2.485513687,136.1179543,2047.434092,0.00047018,0.023863945
192.168.0.2,40:53.1,0,1.638650894,4.696469307,28.6693573,0.013627258,0.001058712
192.168.0.1,41:42.1,0,1.984357834,8.510704041,118.1869507,0.007519942,0.00437499
192.168.0.6,42:31.3,0,2.483844757,69.35092926,117.3865795,0.000922843,-0.001899023
192.168.0.1,45:53.2,0,1.753330231,5.637969971,77.37398148,0.011351604,-0.002069101
192.168.0.5,46:01.2,100,999999999,0,0,0,0
192.168.0.2,46:42.3,0,1.63269043,2.443685532,10.18667221,0.026189949,0.001711349
192.168.0.4,47:31.4,0,2.936601639,82.95831203,240.1437759,0.000771472,0.010924196
192.168.0.6,48:20.5,0,2.494096756,63.8856411,196.4447498,0.00100179,0.015249577
192.168.0.2,50:53.2,0,1.700401306,2.719182968,26.70264244,0.023536482,0.00283515
192.168.0.1,51:42.3,0,1.651525497,21.51141167,819.0066814,0.002975165,0.037593517
192.168.0.6,52:31.4,0,2.42805481,68.14326286,261.6848946,0.000939198,-0.003789139
192.168.0.2,55:53.2,0,1.427412033,5.333557129,104.1843891,0.011999496,-0.001074648
192.168.0.1,56:42.3,0,2.076625824,6.036381721,83.35232735,0.010602378,-0.002924175
192.168.0.6,57:31.4,0,2.223730087,64.21607971,117.9311275,0.000996635,-0.002141953
